sentence,offsets,correction,old_type,new_type,comment
"The show was supposed to have started at 19:30 , but it only started at 20:15 , so the public , including me , was forced to wait for fourty five minutes .
",29 30,,R:OTHER,,
"I am writing to you about an incident I had with the musical show which was presented by your theatre during my week 's holiday in London .
",16 17,,R:OTHER,,
"Your faithfully ,
",0 1,,R:OTHER,,
"As a result , my cousin went to my house in order to gave her a detailed description of it .
",18 20,,U:OTHER,,
"As I solved the trouble with my cousin , I understood why my mother had told me that ' friends ' sometimes were n't as you expected them to be .
",24 25,,R:OTHER,,
"On his way back home to port he is attacked by sharks who eats his catched fish pice by pice .
",14 17,,R:OTHER,,
"Firstly , the start time was at 19.30 p.m , but the play started at 20.15 p.m. People were fed up with waiting so long and most of them apart from me were rather nervous .
",5 5,,M:OTHER,,
"After the show I went to visit the restaurant as it is said it is very famous and apart from that I wanted to have a drink .
",13 15,,R:OTHER,,
"Since then I haven't seen Pat anymore and she seems not regret that happened , so I 'll try to forget her and carry on my life that 's all .
",9 11,,R:OTHER,,
"I am so happy to win the prize and come true my dream .
",9 11,,R:OTHER,,
"I have never used it and I think it would be more exciting than tents .
",4 5,,R:OTHER,,
"Please , let me know this questions as soon as possible .
",5 5,,M:OTHER,,
"- How to get to Camp California from airport ?
",2 2,,M:OTHER,,
"According to the answer there are the most important activities pupils would like to film ( 80 per cent of those questioned )
",4 5,,R:OTHER,,
"According to the answer there are the most important activities pupils would like to film ( 80 per cent of those questioned )
",22 22,,M:OTHER,,
"- competition in basketball , because our school 's team won first prize in our gerian .
",1 4,,R:OTHER,,
"Conclusion : It is clear , that the filming of video is very important event for children , and pupils would prefer to film only positive events of their life at school as I have written above .
",32 33,,R:OTHER,,
"Besides , I would prefer to stay in a tent since I have never had the exciting experience to sleep in the middle of the nature .
",0 2,,U:OTHER,,
"Besides , I would prefer to stay in a tent since I have never had the exciting experience to sleep in the middle of the nature .
",18 20,,R:OTHER,,
"Besides , I would prefer to stay in a tent since I have never had the exciting experience to sleep in the middle of the nature .
",20 24,,R:OTHER,,
"I know I have already asked a lot but there is one more thing I need to know which kind of clothes will be appropriate and how much money will I approximately need ?
",18 19,,R:OTHER,,
"I helped at a pop concert of a newcomer group and you ca n't imagine how exciting it was !
",4 10,,R:OTHER,,
"Perhaps I could help regularly in the lightening area - it would help me for my studies of photography .
",16 19,,R:OTHER,,
"I can hardly await your reply !
",3 4,,R:OTHER,,
"I am really surprise for the information because I won , and I like to tell you thank you for everyting this is why I wrote and send this letter with the information you need , only I can travel in July because it is the only time with I can do it before for my work , really I do not care which accommodation will I can have , I am prefer the accommodation in July I will be avaliabel for the moment , I am really apreciated if you can tell to the people who work in Camp California , I choose the Golf and Photography because I think I am really interesting in that object I am no really really good but I have some of studies .
",35 39,,R:OTHER,,
"I am really surprise for the information because I won , and I like to tell you thank you for everyting this is why I wrote and send this letter with the information you need , only I can travel in July because it is the only time with I can do it before for my work , really I do not care which accommodation will I can have , I am prefer the accommodation in July I will be avaliabel for the moment , I am really apreciated if you can tell to the people who work in Camp California , I choose the Golf and Photography because I think I am really interesting in that object I am no really really good but I have some of studies .
",48 49,,R:OTHER,,
"I am really surprise for the information because I won , and I like to tell you thank you for everyting this is why I wrote and send this letter with the information you need , only I can travel in July because it is the only time with I can do it before for my work , really I do not care which accommodation will I can have , I am prefer the accommodation in July I will be avaliabel for the moment , I am really apreciated if you can tell to the people who work in Camp California , I choose the Golf and Photography because I think I am really interesting in that object I am no really really good but I have some of studies .
",57 62,,R:OTHER,,
"I am really surprise for the information because I won , and I like to tell you thank you for everyting this is why I wrote and send this letter with the information you need , only I can travel in July because it is the only time with I can do it before for my work , really I do not care which accommodation will I can have , I am prefer the accommodation in July I will be avaliabel for the moment , I am really apreciated if you can tell to the people who work in Camp California , I choose the Golf and Photography because I think I am really interesting in that object I am no really really good but I have some of studies .
",73 75,,R:OTHER,,
"I am really surprise for the information because I won , and I like to tell you thank you for everyting this is why I wrote and send this letter with the information you need , only I can travel in July because it is the only time with I can do it before for my work , really I do not care which accommodation will I can have , I am prefer the accommodation in July I will be avaliabel for the moment , I am really apreciated if you can tell to the people who work in Camp California , I choose the Golf and Photography because I think I am really interesting in that object I am no really really good but I have some of studies .
",120 121,,R:OTHER,,
"I am really surprise for the information because I won , and I like to tell you thank you for everyting this is why I wrote and send this letter with the information you need , only I can travel in July because it is the only time with I can do it before for my work , really I do not care which accommodation will I can have , I am prefer the accommodation in July I will be avaliabel for the moment , I am really apreciated if you can tell to the people who work in Camp California , I choose the Golf and Photography because I think I am really interesting in that object I am no really really good but I have some of studies .
",128 130,,R:OTHER,,
"I think it is everyting I like to know .
",2 3,,R:OTHER,,
"I like to apologise with you , because I did n't wrote to you recently , but I like to tell you what hapend to me in the last weak I had the opportunity to help in one of the most pop concert in my city , so imagen , I fell really really good and exating for that I do n't have words for describe but I try to do it , OK ?
",9 11,,R:OTHER,,
"I like to apologise with you , because I did n't wrote to you recently , but I like to tell you what hapend to me in the last weak I had the opportunity to help in one of the most pop concert in my city , so imagen , I fell really really good and exating for that I do n't have words for describe but I try to do it , OK ?
",29 30,,R:OTHER,,
"I like to apologise with you , because I did n't wrote to you recently , but I like to tell you what hapend to me in the last weak I had the opportunity to help in one of the most pop concert in my city , so imagen , I fell really really good and exating for that I do n't have words for describe but I try to do it , OK ?
",56 57,,R:OTHER,,
"I like to apologise with you , because I did n't wrote to you recently , but I like to tell you what hapend to me in the last weak I had the opportunity to help in one of the most pop concert in my city , so imagen , I fell really really good and exating for that I do n't have words for describe but I try to do it , OK ?
",57 59,,U:OTHER,,
"They need one girl to put make up to the stars of the group , so I do it , I was talking with the manager and the people inside the group so I meet a lot of people and it 's good for my curriculum vitae as well but the best for my it 's was when one of the group they with me one rose for my work am really proud about them !
",54 56,,U:OTHER,,
"I am writing to you in reply to your letter about my willing the first prize in your competition .
",12 13,,R:OTHER,,
"As well as that , some shop - assistance can give you a lower price , because you always do shopping at their shop .
",7 9,,R:OTHER,,
"On top of that , shopping is very tiring and exhausting .
",0 4,,R:OTHER,,
"When I have to , I do it , but I think we waste too much time on it that we should .
",19 22,,U:OTHER,,
"Referring to the won competition , I would say that I am very happy to be the first .
",3 5,,R:OTHER,,
"Referring to the won competition , I would say that I am very happy to be the first .
",17 18,,R:OTHER,,
"First , you asked abut the travel time and the only possible time for me is in July , because my company only gave me holidays in this period .
",5 8,,R:OTHER,,
"Second , I prefer accommodation in tent . I want to feel the real nature and spirit of Camp California .
",4 5,,R:OTHER,,
"I choose singing and surfing , singing because I am a singer in a band and I hope to make my voice more perfect and surfing because I have never surf and I want to learn to .
",36 37,,R:OTHER,,
"Is it possible to travel with a friend of mine ?
",0 3,,R:OTHER,,
"How are you ? I hope fine .
",6 6,,M:OTHER,,
"Me , fine , because of helping at the concert ' The Dome ' .
",0 2,,R:OTHER,,
"Me , fine , because of helping at the concert ' The Dome ' .
",5 6,,R:OTHER,,
"First I have help to cook coffee and make food for popular people like Mariah Carey , Elton John , Backstreet Boys , Echt ect ...
",11 13,,R:OTHER,,
"First I have help to cook coffee and make food for popular people like Mariah Carey , Elton John , Backstreet Boys , Echt ect ...
",23 25,,R:OTHER,,
"At the time the concert was running I cleaned the kitchen and the room where the "" stars "" ate .
",0 7,,R:OTHER,,
"The after show dinner party was very nice and I have never thought that popular people like Elton John dances on the table if he likes the music and if he have made a great show on stage .
",14 16,,R:OTHER,,
"It was just great and after this event I can say that popular people are normal humans like everyone !
",12 14,,R:OTHER,,
"It was just great and after this event I can say that popular people are normal humans like everyone !
",19 19,,M:OTHER,,
"I was very exited to see it yesterday , but as soon as I arrived at the theater the problems began .
",3 4,,R:OTHER,,
"I was looking forward on having a discount of some pounds on my ticket , as the leaflet says , however it did not happen .
",9 10,,R:OTHER,,
"I was looking forward on having a discount of some pounds on my ticket , as the leaflet says , however it did not happen .
",18 19,,R:OTHER,,
"At last , for all these reasons my evening was horrible , and that is why I would like to ask you for my money back as soon as possible .
",0 2,,R:OTHER,,
"In our days , technology has become a very common thing , even among children .
",0 2,,R:OTHER,,
"In the other hand , technology has made the differences between - poor and rich people to grow at a high level , and this is one of the biggest causes of violence in all countries .
",17 22,,R:OTHER,,
"I addition to that , people will always be affraid of the technological war .
",0 1,,R:OTHER,,
"Yes , it is true , this is only because nowadays people have more money than even before , and some women do n't earn money , they have no idea how diffcult to earn the money .
",33 33,,M:OTHER,,
"So it is depend on different case .
",5 6,,R:OTHER,,
"I only go to shop unless I really need something .
",3 5,,R:OTHER,,
"I am writing to you to give some opinions of mine abut The International Arts Festival .
",11 12,,R:OTHER,,
"3 . I think that there were not enough plays and films .
",3 8,,R:OTHER,,
"I hope this letter will help you in organying
",9 9,,M:OTHER,,
"It is a pleasure for me to communicate with such a friend as you are .
",7 8,,R:OTHER,,
"We do n't have old - traditioned rules or something alike .
",10 11,,R:OTHER,,
"Fist of all , it would be a good thing to say that July would be the best time to travel because it is hotest mounth in the year , and the weather shall be really nice .
",0 1,,R:OTHER,,
"However , as you asked me to choose two activities , I 'm choosing swimming and climbing , because I 'm very good at swimming and I would like to try myself at climbing .
",31 33,,U:OTHER,,
"Despite the small expereance in climbing I do want to try this type of sport .
",2 3,,R:OTHER,,
"I think that it is all what I would like to know .
",6 7,,R:OTHER,,
"Besides , I was fascinated by the plays and films and you could probably organize some more .
",0 1,,R:OTHER,,
"For a start I would like to say that books offer us a wide range of different life stories , both realistic and unusual , they make us thoughtful and form our outlook , they make us feel and think .
",0 3,,R:OTHER,,
"As far as I am concerned , I enjoy reading all kinds of fiction literature as each masterpiece is unique in its own way despite the fact what sort of book it is .
",24 25,,R:OTHER,,
"As far as I am concerned , I enjoy reading all kinds of fiction literature as each masterpiece is unique in its own way despite the fact what sort of book it is .
",25 27,,U:OTHER,,
"Stories that are realistic help us to understand better our own life and people around us .
",8 16,,R:OTHER,,
"To draw the conclusion , I 'd like to mention that we should value realistic and fantastic stories equally if we are eager to get to understand the world and ourselves .
",0 3,,R:OTHER,,
"Your sincerely
",0 1,,R:OTHER,,
"As you know this Summer I really enjoy myself doing things I like a lot .
",6 8,,R:OTHER,,
"All I had to do was to prepare something to eat before the concert and to control during it about the sound .
",17 22,,R:OTHER,,
"The concert lasted four hours and in the end they wanted to pay me .
",3 4,,R:OTHER,,
"I did n't want to take any money because I was so happy that I had seen the concert of "" Savage Garden "" in live and because that night was the best of my life .
",18 24,,R:OTHER,,
"But the thing I particularly liked about my experience , was the feeling when you are near and when you talk with the people so famous .
",23 26,,R:OTHER,,
"As regards to the time I would like to travel , I would like to make you aware that I can only on July because I am very tied up this time owing to he exam period which will last until the end of June .
",2 5,,R:OTHER,,
"As regards to the time I would like to travel , I would like to make you aware that I can only on July because I am very tied up this time owing to he exam period which will last until the end of June .
",34 35,,R:OTHER,,
"However , I used to play basketball in my school because we had n't other sport pitch except of the basket pitch .
",12 14,,R:OTHER,,
"However , I used to play basketball in my school because we had n't other sport pitch except of the basket pitch .
",15 16,,R:OTHER,,
"However , I used to play basketball in my school because we had n't other sport pitch except of the basket pitch .
",17 19,,R:OTHER,,
"Besides the practical lessons of the cooking course level NVQ3 might be interesting with the delicious dishes of meat and vegetables .
",0 1,,R:OTHER,,
"We should n't disregard and neglect to film the buildings and the gardens of our beautiful college , especially when we take into our consideration the fact that it is in the city of Shakespear .
",19 20,,R:OTHER,,
"Because I 've started surfing since 1998 and I 'm keen on surfing .
",0 1,,M:OTHER,,
"Anyway , I really enjoyed helpying at a pop concert last month so that I 'd like to write them down !
",19 21,,R:OTHER,,
"First of all I 'd like to thank you for the prize , I will enjoy it abosolutly .
",17 18,,R:OTHER,,
"Well , as you demand , I tell you I would like to travel as soon as July begins , I 'm going to be able only this summer month because my job responsabilities .
",27 28,,R:OTHER,,
"Acording to the choice whether I prefer tends or log cabins , I think I will turn to the first one because I have always loved camping the nearest to nature , if it 's possible in front of a lake or a river , if you camping has one , so that I will be able to practise my favorite and skillful hobby : sailing .
",0 2,,R:OTHER,,
"Acording to the choice whether I prefer tends or log cabins , I think I will turn to the first one because I have always loved camping the nearest to nature , if it 's possible in front of a lake or a river , if you camping has one , so that I will be able to practise my favorite and skillful hobby : sailing .
",4 7,,R:OTHER,,
"Acording to the choice whether I prefer tends or log cabins , I think I will turn to the first one because I have always loved camping the nearest to nature , if it 's possible in front of a lake or a river , if you camping has one , so that I will be able to practise my favorite and skillful hobby : sailing .
",7 8,,R:OTHER,,
"Acording to the choice whether I prefer tends or log cabins , I think I will turn to the first one because I have always loved camping the nearest to nature , if it 's possible in front of a lake or a river , if you camping has one , so that I will be able to practise my favorite and skillful hobby : sailing .
",27 29,,R:OTHER,,
"Acording to the choice whether I prefer tends or log cabins , I think I will turn to the first one because I have always loved camping the nearest to nature , if it 's possible in front of a lake or a river , if you camping has one , so that I will be able to practise my favorite and skillful hobby : sailing .
",33 35,,U:OTHER,,
"Your faithfully Jose Fernandez
",0 1,,R:OTHER,,
""" Wuthering Heights "" by Emile Brönte I think this statement is a very truly afimation in the case of my book because the main character of the story is a very wicked man .
",14 15,,R:OTHER,,
"He 's not good not because he was born with this trend to harm but the others character make him become thus .
",20 22,,R:OTHER,,
"Thank you to ask me my taste and to be preoccupated about it .
",8 13,,R:OTHER,,
"furthermore I made some stars in paper in argent color .
",6 10,,R:OTHER,,
"The most exiting part was when I had to make up the pop stars !
",14 14,,M:OTHER,,
"It was like a dream who becomes tru .
",5 8,,R:OTHER,,
"What is quite not true because when I asked for it , the woman who sells the tickets replied with a resounding "" no "" .
",10 11,,R:OTHER,,
"When the play finally started , and the two actors entered the stage , I could see that the male one was not Danny Brook , differently from what the advertisement sign says , what really disappointed me since he was the only reason that I came to this play .
",26 27,,R:OTHER,,
"After the disappointing performance the actor who replaced Danny Brook , I went to the theatre restaurant , and , also differing from the advertisement sign , it was closed .
",21 23,,R:OTHER,,
"As we all know , technology had a gigantic improvement over the last 20 years , and today , it affects us in many ways .
",6 10,,R:OTHER,,
"First of all , we all became much more sedentary than in the past .
",5 7,,R:OTHER,,
"So , men have invented machines to help him on his tasks , but nowadays , we our becoming slaves of them .
",17 18,,R:OTHER,,
"It is the only month where I do n't work .
",5 6,,R:OTHER,,
"I have sailed some in my youth but have never went climbing .
",3 4,,R:OTHER,,
"In case of any accidents , will the transport back home be paid for ?
",1 2,,R:OTHER,,
"Why can shopping be unenjoyable ?
",1 4,,R:OTHER,,
"It seems to last forever and just when you think she 's done , she spots an othe pair .
",16 18,,R:OTHER,,
"Shopping for me is supposed to be a very fast experiance .
",1 3,,R:OTHER,,
"This made me really disappointed .
",1 5,,R:OTHER,,
"We arrived at the theatre at 19,00 since the play should start at 19:30 but we had to wait until 20:15 then it started .
",21 22,,R:OTHER,,
"I am therefor writing to ask for a full refund
",2 3,,R:OTHER,,
"This was the best thing that ever had happend in years for the Fennall family .
",9 15,,R:OTHER,,
"Maria was still a little bit chocked over the naus of having a baby .
",10 11,,R:OTHER,,
"I WOULD PREFER TRAVELLING IN JULY , BECAUSE I HAVE MY EXAMS IN JUNE AND I'VE SIGNED FOR A CONTRACT AS A SHOP ASSISTANT STARTING IN AUGUST .
",20 20,,M:OTHER,,
"SINCE I HAVE THE CHOICE FOR MY ACCOMODATION , I'LL DEFINETELLY GO FOR THE LOG CABINS , BECAUSE I CAN'T BARE THE HEAT INSIDE THE TENT .
",5 7,,R:OTHER,,
"SINCE I HAVE THE CHOICE FOR MY ACCOMODATION , I'LL DEFINETELLY GO FOR THE LOG CABINS , BECAUSE I CAN'T BARE THE HEAT INSIDE THE TENT .
",20 21,,R:OTHER,,
"OUT OF THE LIST OF ACTIVITIES GIVEN I'VE CHOSEN GOLF AND PHOTOGRAPHY ; GOLF BECAUSE I LOVE THE SPORT ALTHOUGH I DON'T GET TO PLAY IT MUCH ( I'M NOT BAD AT IT ) , AND PHOTOGRAPHY BECAUSE IT 'S SOMETHING I'VE ALWAYS LOVED TO LEARN BUT I'VE NEVER HAD THE CHANCE .
",43 44,,R:OTHER,,
"AFTER THE STAGE WAS SET , THE REST OF THE THINGS I HAD TO DO WERE QUITE EASY AND ENJOYABLE ; I COULD STAY EITHER BACK OR FRONT STAGE AND GIVE A HAND IF NEEDED , I REALLY ENJOYED IT BECAUSE I LEARNT A LOT OF TECNICAL THINGS I DIDN'T KNOW ; AND WHAT I ALSO ENJOYED WAS THE GOOD PAY !
",4 5,,R:OTHER,,
"AFTER THE STAGE WAS SET , THE REST OF THE THINGS I HAD TO DO WERE QUITE EASY AND ENJOYABLE ; I COULD STAY EITHER BACK OR FRONT STAGE AND GIVE A HAND IF NEEDED , I REALLY ENJOYED IT BECAUSE I LEARNT A LOT OF TECNICAL THINGS I DIDN'T KNOW ; AND WHAT I ALSO ENJOYED WAS THE GOOD PAY !
",25 28,,R:OTHER,,
"This show was for me very disappointing for many reasons : First of all , I was very surprised by the no presence of the famous actor , Danny Brook , who was one of my reasons to book a sit .
",21 23,,R:OTHER,,
"Also , I 'm unhappy about the bad informations of your advertisement , which clearly says , the play begins at 19.30 instead of 20.15 as my evening ' show .
",25 26,,R:OTHER,,
"For those next days , Pat will do his best to be the most sympathic as possible .
",12 14,,R:OTHER,,
"To beginning , every morning Pat says a pleasant "" hello "" in adding to that a big smail .
",1 2,,R:OTHER,,
"To beginning , every morning Pat says a pleasant "" hello "" in adding to that a big smail .
",12 13,,R:OTHER,,
"I would preffer travelling in July , I have only these time , because my summer holidays during these days .
",3 4,,R:OTHER,,
"To your answer about living in tents or cabins , I would like to sleep in a tent .
",3 3,,M:OTHER,,
"You ca n't believe what I did last month . I was given the opportunity to build up the concert and of course I took my chance .
",24 27,,R:OTHER,,
"I was able to ask anybody , and he answered detailly , althoug he was full of work .
",10 11,,R:OTHER,,
"I was able to ask anybody , and he answered detailly , althoug he was full of work .
",14 16,,R:OTHER,,
"As I saw from your advertisement in the newspaper , it said ' Starring : Danny Brook and Tina Truelove ' .
",0 11,,R:OTHER,,
"And from your advertisement , the show should start at 19.30 but it did n't .
",1 2,,R:OTHER,,
"It 's easy to do but the only one rule was I can tell my secret to only one person .
",8 9,,U:OTHER,,
"If you do not mind I would prefer tent , because in tent I will be along .
",16 17,,R:OTHER,,
"In my opininion this book ' The Old Man and the sea ' is the best book which Ernest Hemingway had writen .
",20 22,,R:OTHER,,
"Thise book is about men who know that he will die soon , he know that he did n't made his dream coom tru .
",22 23,,R:OTHER,,
"He s destenation is get Marlin .
",0 2,,R:OTHER,,
"I the end he make his drems coom tru , he get vast Marlin .
",0 1,,R:OTHER,,
"I the end he make his drems coom tru , he get vast Marlin .
",7 8,,R:OTHER,,
"We must believe in our selfs .
",4 6,,R:OTHER,,
"To sum up I must say that every - one should read this book .
",7 10,,R:OTHER,,
"I was expecting to have fun , so I decided to go to the play "" Over the Rainbow "" , that s now presenting in your theatre .
",22 23,,R:OTHER,,
"But the play started fourty - five minutes late , and the star of the show , of whom I 'm a great fan an who was the mainly reason of why I decided to see the play , was changed for another actor , how turned out to be really bad .
",45 46,,R:OTHER,,
"You will understand how upseting all this was , and I decided to visit your restaurant , thinking that could save my visit to the theatre , but it was closed and I had to go back to my hotel felling mad an hungry .
",42 43,,R:OTHER,,
"All the thing that were promised in your advertisement were not true , and it was definitly NOT the perfect evening out .
",10 12,,R:OTHER,,
"I think that some of the changes had been very good , like the impruvement to the medical science , that now can saved millions of persons that one hundred years ago were doomed to die or to live miserable lives .
",20 21,,R:OTHER,,
"It has changed the ways in how people comunicate .
",5 7,,U:OTHER,,
"First the telegraph and the radio an now TV , the telephone and the Internet allowed people be in contact with others really quickly and distances are nt now so difficult of overcome .
",6 7,,R:OTHER,,
"The weapons and the factories are destroing our planet and we need to realized that we have to use tecnology to impruve our lives , but always triying to respect nature .
",25 26,,R:OTHER,,
"I really thanks for your organisation has given me the opportunities to go abroad U.S.A.
",4 11,,R:OTHER,,
"I really thanks for your organisation has given me the opportunities to go abroad U.S.A.
",13 14,,R:OTHER,,
"The date that I would like to travel , that will be nice to go on 1st of July .
",2 3,,R:OTHER,,
"Regarding to the accommodation , I would prefer to stay in tents more than log carbins because I have a lot of experiences of built up my own tents .
",12 13,,R:OTHER,,
"Since I was young , my dad he alway took me out to have live drawings , so now it became my hobbies .
",8 10,,R:OTHER,,
"Since I was young , my dad he alway took me out to have live drawings , so now it became my hobbies .
",11 14,,R:OTHER,,
"Since I was young , my dad he alway took me out to have live drawings , so now it became my hobbies .
",14 15,,R:OTHER,,
"Since I was young , my dad he alway took me out to have live drawings , so now it became my hobbies .
",21 21,,M:OTHER,,
"At last some of things I need to clarify , that is , what type of clothes and money do I need to prepared .
",0 2,,R:OTHER,,
"At last some of things I need to clarify , that is , what type of clothes and money do I need to prepared .
",2 2,,M:OTHER,,
"At last some of things I need to clarify , that is , what type of clothes and money do I need to prepared .
",10 13,,R:OTHER,,
"At last some of things I need to clarify , that is , what type of clothes and money do I need to prepared .
",18 18,,M:OTHER,,
"For most of the people might think , why would I say that , because shopping is a very good entertainment especially for female , as me .
",2 4,,U:OTHER,,
"For most of the people might think , why would I say that , because shopping is a very good entertainment especially for female , as me .
",23 24,,R:OTHER,,
"For frank , I like to shopping .
",0 2,,R:OTHER,,
"What fashion is hit now .
",3 4,,R:OTHER,,
"Then I can say I 'm definatly does n't feel any enjoyable .
",10 11,,R:OTHER,,
"For me I think , it is not shopping that is kind of suffering .
",9 11,,R:OTHER,,
"Especially , queue up for twenty minutes for just paying the money or waiting for the salesgirl getting your the right size of clothes .
",10 12,,U:OTHER,,
"Especially , queue up for twenty minutes for just paying the money or waiting for the salesgirl getting your the right size of clothes .
",22 24,,U:OTHER,,
"- Time of travelling : According to the vacations and school holidays in Germany I am only able to travel in July .
",5 7,,R:OTHER,,
"You now that we are not used to living in such high temperatures in Germany as it will be then in California .
",1 2,,R:OTHER,,
"You now that we are not used to living in such high temperatures in Germany as it will be then in California .
",16 20,,R:OTHER,,
"If there are only tents available at this time it will not be a problem for me , too .
",17 19,,R:OTHER,,
"' Shopping ' stands for buying goods for your daily requirements , e.g. food , clothes .
",3 5,,R:OTHER,,
"But if you realize how important it is for your health what you buy you will go shopping with much more consiousness and joy than before . '
",19 21,,R:OTHER,,
"Reorganize your behaviour of shopping and plan to keep food in stock !
",2 4,,R:OTHER,,
"This is even an appropriate way to get around unfriendly service you get to know if you have to buy something in a shop right before closing time .
",3 5,,R:OTHER,,
"There are ways of behaviour to make more fun of it .
",4 11,,R:OTHER,,
"It depends on every individual to change your mind and act as a ' smart ' shopper .
",10 11,,R:OTHER,,
"However it started 20:15 !
",0 1,,R:OTHER,,
"The worst one was that the actor and actress were not the person who had been written in the advertisement , because of that I was extremely disappointed .
",2 3,,R:OTHER,,
"But if you thought 10 years before you can easily notice .
",6 7,,R:OTHER,,
"So , we can be connected other people with a mobile phone no matter where you are and you can correspond to other contry people in real time by using internet .
",22 25,,R:OTHER,,
"However not only this advantage but also there are lots of disadvantages .
",1 1,,M:OTHER,,
"Although mobile phone is very useful our life , it might be harmful for our brain because of micro wave it can cause the cancer or traffic accidents .
",18 20,,R:OTHER,,
"So I would like to say the science and techology changed our daily life more convenience it also could be dangerous .
",14 14,,M:OTHER,,
"I was pleased as I got it .
",3 4,,R:OTHER,,
"I prefer to stay in log cabins , therefore I 'm going to travel with 2 children and my dog .
",8 9,,R:OTHER,,
"Despite the poor material of product , we have to pay much money , even though we completely satisfied shopping at that time , we sometimes regret buying after the shopping .
",11 12,,R:OTHER,,
"Secondary the customer 's service often makes us angry .
",2 4,,U:OTHER,,
"First of all , according to your advertisement , Danny Brook should be one of the stars , instead there was one for me totally unknown actor .
",21 22,,R:OTHER,,
"Your advertisement also failed to mention the fact that there was no discounts what so ever and finally , because of a shortage of staf , your restaurant was not available for us .
",31 33,,U:OTHER,,
"But now when the story was out , it was just to start to accept it .
",8 10,,R:OTHER,,
"Secondly , the times , it 's available 14.30 and 19.30 so I choose 19.30 .
",7 8,,R:OTHER,,
"Also I had a student identification card to discount the ticket price but it was unavilable to discount .
",8 9,,R:OTHER,,
"Also I had a student identification card to discount the ticket price but it was unavilable to discount .
",13 18,,R:OTHER,,
"Those are totally unexpectable so I presume that I would like to get paid for my ticket cost .
",6 9,,U:OTHER,,
"Also T.Vs , I guess that I was not able to watch colour T.V if I was born in 1960 . T.V colour only consist of white and black .
",7 9,,R:OTHER,,
"People who have their car , they do n't attempt to walk on foot even if it is short distance .
",12 14,,U:OTHER,,
"The improvement of technology can makes our life easy and in the other way it also can makes our life lazy .
",10 14,,R:OTHER,,
"I really expected the musical show , but it was a disappointing show .
",2 3,,R:OTHER,,
"At first , you advertisement said there were Danny Brook and Tina Truelove , but it had different actor disappointely .
",0 2,,R:OTHER,,
"At first , you advertisement said there were Danny Brook and Tina Truelove , but it had different actor disappointely .
",19 20,,R:OTHER,,
"So I ask for money back to you . I could n't be satisfied your theatre .
",3 8,,R:OTHER,,
"Because she believed him .
",0 1,,M:OTHER,,
"Pat also regrets about his speaking .
",5 6,,R:OTHER,,
"Poor Pat , now he is blamed by everyone such as the people who he talked their secrets to everybody .
",13 18,,R:OTHER,,
"In our days , nobody can live without technology .
",0 3,,R:OTHER,,
"I would rather prefer sleeping in log cabins if its possible because I have back problems and I am not allowed to sleep on the ground .
",9 10,,R:OTHER,,
"Do I have to take with me my tennis raquet and my golf bag ?
",5 14,,R:OTHER,,
"I was in charge of the lights of the stage , you know , all those colourful lights that go all around the stage .
",6 10,,R:OTHER,,
"It was hard work because I have been practising for several weeks .
",4 5,,R:OTHER,,
"I had to learn what part of the stage had to be lightened with a blue light or a green one .
",17 18,,R:OTHER,,
"It was a strange experience because its something new for me .
",6 7,,R:OTHER,,
"Besides , the actor who filled him in was unknown and specially boring .
",6 8,,R:OTHER,,
"Secondly , the show had to begin at 19.30 pm , in fact he began at 20.15 pm and that without any explainations !
",11 13,,R:OTHER,,
"Secondly , the show had to begin at 19.30 pm , in fact he began at 20.15 pm and that without any explainations !
",20 21,,R:OTHER,,
"Your advertisement mentioned that discounts were available , however when I asked for them to the staff they replied to me that they were n't discounts !
",12 17,,R:OTHER,,
"Your advertisement mentioned that discounts were available , however when I asked for them to the staff they replied to me that they were n't discounts !
",19 21,,U:OTHER,,
"Your advertisement mentioned that discounts were available , however when I asked for them to the staff they replied to me that they were n't discounts !
",22 23,,R:OTHER,,
"When I started work , I wrote everything I made on sheets and if sometimes I made mistakes , I had to cross out and it was n't very well - made .
",12 12,,M:OTHER,,
"When I started work , I wrote everything I made on sheets and if sometimes I made mistakes , I had to cross out and it was n't very well - made .
",30 32,,R:OTHER,,
"Now , I enter datas and I do n't need any more to calculate my figures , the work is completely made by the computer and in addition there is no mistake .
",10 16,,R:OTHER,,
"Now , I enter datas and I do n't need any more to calculate my figures , the work is completely made by the computer and in addition there is no mistake .
",20 22,,R:OTHER,,
"With regard to your letter , I would like to thank and congratulate you for making possible such a wonderful event as your competition is .
",17 25,,R:OTHER,,
"If it was possible i d prefer to pass the two weeks mentioned in your letter during July .
",4 6,,R:OTHER,,
"My skills in these activities are very different : while in climbing , this will be the first time I climb .
",5 8,,R:OTHER,,
"My skills in these activities are very different : while in climbing , this will be the first time I climb .
",10 11,,R:OTHER,,
"It would be greatful if you could send me further information about details like how much money on what kind of clothes I 'll have to take with me .
",17 18,,R:OTHER,,
"During the two hours of concert we had to attend thirty - six people , who became inconscious after being trapped in the first line by the other people .
",3 5,,R:OTHER,,
"In one hand , there 's you .
",0 1,,R:OTHER,,
"How do you pretend to see in a mirror that anything fits well on you ?
",12 15,,R:OTHER,,
"In the other , you have always to count on unfriendly shop assistants , no size for you or too high prices .
",14 15,,R:OTHER,,
"Sir manager
",0 1,,R:OTHER,,
"And when it finaly started , there was n't Danny Brook who plaied .
",6 7,,R:OTHER,,
